title,keywords,everything,topic,authors,journal,links,full_title
the role of the medial plate for pauwels type iii femoral neck fracture: a comparative mechanical study using two fixations with cannulated screws.,biomechanical testing femoral neck fracture medial plate multiple cannulates screws pauwels classification,the role of the medial plate for pauwels type iii femoral neck fracture: a comparative mechanical study using two fixations with cannulated screws.,ORTHOPAEDICS/SURGERY,"Giordano V, Alves DD, Paes RP, Amaral AB, Giordano M, Belangero W, Freitas A, Koch HA, do Amaral NP,",*Journal of experimental orthopaedics*,* [The role of the medial plate for Pauwels type III femoral neck fracture: a comparative mechanical study using two fixations with cannulated screws.](https://www.ncbi.nlm.nih.gov/pubmed/31049738),The role of the medial plate for Pauwels type III femoral neck fracture: a comparative mechanical study using two fixations with cannulated screws.
complete capsular repair restores native kinematics after interportal and t-capsulotomy.,biomechanical capsulotomy hip arthroscopy kinematics repair,complete capsular repair restores native kinematics after interportal and t-capsulotomy.,ORTHOPAEDICS/SURGERY,"Baha P, Burkhart TA, Getgood A, Degen RM,",*The American journal of sports medicine*,* [Complete Capsular Repair Restores Native Kinematics After Interportal and T-Capsulotomy.](https://www.ncbi.nlm.nih.gov/pubmed/30946598),Complete Capsular Repair Restores Native Kinematics After Interportal and T-Capsulotomy.
biomechanical considerations in the design of patient-specific fixation plates for the distal radius.,corrective osteotomy finite element analysis implant design patient-specific implant volar distal radius plate,biomechanical considerations in the design of patient-specific fixation plates for the distal radius.,ORTHOPAEDICS/SURGERY,"Caiti G, Dobbe JGG, Bervoets E, Beerens M, Strackee SD, Strijkers GJ, Streekstra GJ,",*Medical & biological engineering & computing*,* [Biomechanical considerations in the design of patient-specific fixation plates for the distal radius.](https://www.ncbi.nlm.nih.gov/pubmed/30588576),Biomechanical considerations in the design of patient-specific fixation plates for the distal radius.
position of the rotator cuff footprint in relation to the centre of rotation of the humeral head.,biomechanics rotator cuff shoulder,position of the rotator cuff footprint in relation to the centre of rotation of the humeral head.,ORTHOPAEDICS/SURGERY,"Caruana E, Wigderowitz C, Harrold F,",*Shoulder & elbow*,* [Position of the rotator cuff footprint in relation to the centre of rotation of the humeral head.](https://www.ncbi.nlm.nih.gov/pubmed/31019559),Position of the rotator cuff footprint in relation to the centre of rotation of the humeral head.
biomechanical evaluation of interfragmentary compression of lag screw versus positional screw at different angles of fixation.,,biomechanical evaluation of interfragmentary compression of lag screw versus positional screw at different angles of fixation.,ORTHOPAEDICS/SURGERY,"Kuzma AL, Luo TD, De Gregorio M, Coon GD, Danelson K, Halvorson JJ, Carroll EA, Aneja A,",*Journal of orthopaedic trauma*,* [Biomechanical Evaluation of Interfragmentary Compression of Lag Screw Versus Positional Screw at Different Angles of Fixation.](https://www.ncbi.nlm.nih.gov/pubmed/30640295),Biomechanical Evaluation of Interfragmentary Compression of Lag Screw Versus Positional Screw at Different Angles of Fixation.
medial malleolar fractures: current treatment concepts.,implant medial malleolus trauma,medial malleolar fractures: current treatment concepts.,ORTHOPAEDICS/SURGERY,"Carter TH, Duckworth AD, White TO,",*The bone & joint journal*,* [Medial malleolar fractures: current treatment concepts.](https://www.ncbi.nlm.nih.gov/pubmed/31038989),Medial malleolar fractures: current treatment concepts.
editorial commentary: precise repair of partial subscapularis tendon tears is essential.,,editorial commentary: precise repair of partial subscapularis tendon tears is essential.,ORTHOPAEDICS/SURGERY,"Lee TQ,",*Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association*,* [Editorial Commentary: Precise Repair of Partial Subscapularis Tendon Tears Is Essential.](https://www.ncbi.nlm.nih.gov/pubmed/31054710),Editorial Commentary: Precise Repair of Partial Subscapularis Tendon Tears Is Essential.
a biomechanical comparison of new techniques for distal clavicular fracture repair versus locked plating.,distal clavicular fracture biomechanical study coracoclavicular button cortical button distal-third locking plate lateral clavicle,a biomechanical comparison of new techniques for distal clavicular fracture repair versus locked plating.,ORTHOPAEDICS/SURGERY,"Yagnik GP, Brady PC, Zimmerman JP, Jordan CJ, Porter DA,",*Journal of shoulder and elbow surgery*,* [A biomechanical comparison of new techniques for distal clavicular fracture repair versus locked plating.](https://www.ncbi.nlm.nih.gov/pubmed/30713066),A biomechanical comparison of new techniques for distal clavicular fracture repair versus locked plating.
mid-term clinical outcome and reconstruction of posterior tibial slope after uka.,,mid-term clinical outcome and reconstruction of posterior tibial slope after uka.,ORTHOPAEDICS/SURGERY,"Franz A, Boese CK, Matthies A, Leffler J, Ries C,",*The journal of knee surgery*,* [Mid-Term Clinical Outcome and Reconstruction of Posterior Tibial Slope after UKA.](https://www.ncbi.nlm.nih.gov/pubmed/29783271),Mid-Term Clinical Outcome and Reconstruction of Posterior Tibial Slope after UKA.
the role of plantar fascia tightness in hallux limitus: a biomechanical analysis.,biomechanics model dorsiflexion forefoot hallux limitus hallux rigidus,the role of plantar fascia tightness in hallux limitus: a biomechanical analysis.,ORTHOPAEDICS/SURGERY,"Viehöfer AF, Vich M, Wirth SH, Espinosa N, Camenzind RS,",*The Journal of foot and ankle surgery : official publication of the American College of Foot and Ankle Surgeons*,* [The Role of Plantar Fascia Tightness in Hallux Limitus: A Biomechanical Analysis.](https://www.ncbi.nlm.nih.gov/pubmed/30738612),The Role of Plantar Fascia Tightness in Hallux Limitus: A Biomechanical Analysis.
does the direct anterior approach allow earlier recovery of walking following total hip arthroplasty? a randomized prospective trial using accelerometry.,anterior approach functional scores gait posterior approach total hip arthroplasty,does the direct anterior approach allow earlier recovery of walking following total hip arthroplasty? a randomized prospective trial using accelerometry.,ORTHOPAEDICS/SURGERY,"Bon G, Kacem EB, Lepretre PM, Weissland T, Mertl P, Dehl M, Gabrion A,","*Orthopaedics & traumatology, surgery & research : OTSR*",* [Does the direct anterior approach allow earlier recovery of walking following total hip arthroplasty? A randomized prospective trial using accelerometry.](https://www.ncbi.nlm.nih.gov/pubmed/30853454),Does the direct anterior approach allow earlier recovery of walking following total hip arthroplasty? A randomized prospective trial using accelerometry.
editorial commentary: all-suture anchor for medial-row fixation in rotator cuff repair-ready for prime time?,,editorial commentary: all-suture anchor for medial-row fixation in rotator cuff repair-ready for prime time?,ORTHOPAEDICS/SURGERY,"Burks RT,",*Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association*,* [Editorial Commentary: All-Suture Anchor for Medial-Row Fixation in Rotator Cuff Repair-Ready for Prime Time?](https://www.ncbi.nlm.nih.gov/pubmed/31054717),Editorial Commentary: All-Suture Anchor for Medial-Row Fixation in Rotator Cuff Repair-Ready for Prime Time?
correction to: a biomechanical comparison of different fixation techniques for fractures of the acetabular posterior wall.,,correction to: a biomechanical comparison of different fixation techniques for fractures of the acetabular posterior wall.,ORTHOPAEDICS/SURGERY,"Cao Q, Jiang Y, Li Y, Wang H, Huan Y, Wu X,",*International orthopaedics*,* [Correction to: A biomechanical comparison of different fixation techniques for fractures of the acetabular posterior wall.](https://www.ncbi.nlm.nih.gov/pubmed/30707254),Correction to: A biomechanical comparison of different fixation techniques for fractures of the acetabular posterior wall.
influence of component geometry on patellar mechanics in posterior-stabilized rotating platform total knee arthroplasty.,fluoroscopy joint replacement knee patellofemoral total knee arthroplasty,influence of component geometry on patellar mechanics in posterior-stabilized rotating platform total knee arthroplasty.,ORTHOPAEDICS/SURGERY,"Mannen EM, Ali AA, Dennis DA, Haas BD, Rullkoetter PJ, Shelburne KB,",*The Journal of arthroplasty*,* [Influence of Component Geometry on Patellar Mechanics in Posterior-Stabilized Rotating Platform Total Knee Arthroplasty.](https://www.ncbi.nlm.nih.gov/pubmed/30777625),Influence of Component Geometry on Patellar Mechanics in Posterior-Stabilized Rotating Platform Total Knee Arthroplasty.
biomechanical evaluation of spring ligament augmentation with the fibertape device in a cadaveric flatfoot model.,biomechanics cadaveric flatfoot spring ligament tendon disorders,biomechanical evaluation of spring ligament augmentation with the fibertape device in a cadaveric flatfoot model.,ORTHOPAEDICS/SURGERY,"Aynardi MC, Saloky K, Roush EP, Juliano P, Lewis GS,",*Foot & ankle international*,* [Biomechanical Evaluation of Spring Ligament Augmentation With the FiberTape Device in a Cadaveric Flatfoot Model.](https://www.ncbi.nlm.nih.gov/pubmed/30822130),Biomechanical Evaluation of Spring Ligament Augmentation With the FiberTape Device in a Cadaveric Flatfoot Model.
biomechanical testing of trans-humeral all-suture anchors for rotator cuff repair.,all-suture anchors biomechanical testing rotator cuff repair,biomechanical testing of trans-humeral all-suture anchors for rotator cuff repair.,ORTHOPAEDICS/SURGERY,"Aramberri-Gutiérrez M, Martínez-Menduiña A, Boyle S, Valencia M,",*Shoulder & elbow*,* [Biomechanical testing of trans-humeral all-suture anchors for rotator cuff repair.](https://www.ncbi.nlm.nih.gov/pubmed/31019566),Biomechanical testing of trans-humeral all-suture anchors for rotator cuff repair.
can prophylactic cables stop crack propagation in revision arthroplasty: a biomechanical study.,crack propagation intraoperative fracture prophylactic cables revision hip arthroplasty revision surgery,can prophylactic cables stop crack propagation in revision arthroplasty: a biomechanical study.,ORTHOPAEDICS/SURGERY,"Kuster LS, Marshall D, Fässler C, Duff SJ, Hayes A, Kuster MS,",*The Journal of arthroplasty*,* [Can Prophylactic Cables Stop Crack Propagation in Revision Arthroplasty: A Biomechanical Study.](https://www.ncbi.nlm.nih.gov/pubmed/30824292),Can Prophylactic Cables Stop Crack Propagation in Revision Arthroplasty: A Biomechanical Study.
gait mechanics in women of the acl-sports randomized control trial: interlimb symmetry improves over time regardless of treatment group.,acl-sports training anterior cruciate ligament reconstruction (aclr) gait mechanics musculoskeletal modeling rehabilitation women,gait mechanics in women of the acl-sports randomized control trial: interlimb symmetry improves over time regardless of treatment group.,REHABILITATION,"Capin JJ, Zarzycki R, Ito N, Khandha A, Dix C, Manal K, Buchanan TS, Snyder-Mackler L,",*Journal of orthopaedic research : official publication of the Orthopaedic Research Society*,* [Gait Mechanics in Women of the ACL-SPORTS Randomized Control Trial: Interlimb Symmetry Improves Over Time Regardless of Treatment Group.](https://www.ncbi.nlm.nih.gov/pubmed/31042301),Gait Mechanics in Women of the ACL-SPORTS Randomized Control Trial: Interlimb Symmetry Improves Over Time Regardless of Treatment Group.
creatine supplementation can improve impact control in high-intensity interval training.,exhaustion injury risk muscle activity running shock attenuation sports nutrition,creatine supplementation can improve impact control in high-intensity interval training.,REHABILITATION,"da Silva Azevedo AP, Michelone Acquesta F, Lancha AH, Bertuzzi R, Poortmans JR, Amadio AC, Cerca Serrão J,","*Nutrition (Burbank, Los Angeles County, Calif.)*",* [Creatine supplementation can improve impact control in high-intensity interval training.](https://www.ncbi.nlm.nih.gov/pubmed/30708260),Creatine supplementation can improve impact control in high-intensity interval training.
